"Users","New_users","Avg_session","Pages_session","Sessions","P_rebound","Author","Section","Year","Month","Day","Days_count","Title_length","Subtitle_length","Content_length","anger_title","anticipation_title","disgust_title","fear_title","joy_title","sadness_title","surprise_title","trust_title","negative_title","positive_title","anger_subtitle","anticipation_subtitle","disgust_subtitle","fear_subtitle","joy_subtitle","sadness_subtitle","surprise_subtitle","trust_subtitle","negative_subtitle","positive_subtitle","anger_content","anticipation_content","disgust_content","fear_content","joy_content","sadness_content","surprise_content","trust_content","negative_content","positive_content","Topics"
85,80,145,1.27,88,85.23,"Sofía Campos","cultura",2023,"5",15,290,92,149,2558,1,0,2,5,0,3,0,0,6,1,1,0,2,5,0,4,0,2,6,1,12,7,18,33,2,23,2,10,40,17,NA
154,65,327,1.59,152,80.26,"Sofía Campos","cultura",2024,"1",30,30,73,142,3540,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,5,4,8,9,2,12,5,18,14,29,NA
26,16,44,1.57,30,70,"Sofía Campos","cultura",2024,"1",30,30,73,142,3540,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,5,4,8,9,2,12,5,18,14,29,NA
36,16,445,1.9,41,75.61,"Sofía Campos","cultura",2023,"12",30,61,81,123,3729,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,3,4,13,3,10,3,5,24,25,NA
24,22,2069,3.23,65,60,"Jorge Vilches","cultura",2023,"1",26,399,50,150,4432,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,12,6,5,17,2,12,1,14,27,29,NA
65,47,7,1.2,61,80.33,"Sofía Campos","cultura",2024,"1",8,52,71,136,2353,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,9,14,6,13,11,9,8,10,23,29,NA
36,24,14,1.31,35,82.86,"David Hernández de la Fuente","cultura",2024,"2",5,24,70,169,5201,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,15,4,11,15,5,5,31,12,45,NA
32,25,218,1.97,31,83.87,"Sofía Campos","cultura",2023,"3",1,365,41,114,2849,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,6,3,10,5,3,3,12,12,19,NA
88,24,79,1.78,58,84.48,"Javier Ors","cultura",2024,"1",21,39,76,237,6461,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,2,3,0,33,7,10,33,2,37,1,18,69,39,NA
12,2,78,1.14,14,85.71,"Yoel Meilán","cultura",2024,"1",7,53,74,207,8430,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,1,4,3,6,43,36,13,48,20,35,16,44,76,84,NA
15,14,1544,2.75,16,75,"Adela Sanchidrián","cultura",2023,"2",16,378,105,149,7725,0,0,0,0,0,0,0,1,0,2,1,1,0,0,2,1,1,3,0,5,6,32,9,21,18,11,13,64,23,104,NA
19,7,0,1.12,17,100,"David Hernández de la Fuente","cultura",2024,"1",8,52,29,182,4774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,7,6,5,3,14,9,25,NA
16,11,82,1.31,16,75,"Toni Montesinos","cultura",2024,"3",6,-6,86,183,9294,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,41,43,32,51,23,42,20,63,76,116,NA
12,10,291,1.42,12,58.33,"Marisa Bueno","cultura",2023,"9",20,162,94,145,5076,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,16,12,3,21,7,9,6,17,22,34,NA
67,61,119,1.33,70,81.43,"Héctor Herrera","cultura",2023,"9",12,170,85,124,3473,1,1,1,1,0,1,0,0,2,1,0,1,0,0,1,0,1,0,0,1,25,13,21,40,6,28,11,8,48,20,NA
216,200,76,1.28,236,78.39,"Héctor Herrera","cultura",2023,"6",7,267,73,95,2765,0,0,1,1,0,2,0,0,2,0,1,1,1,1,0,1,0,0,1,1,14,7,13,25,4,25,4,9,41,24,NA
12,9,10307,12.69,16,31.25,"Jorge Vilches","cultura",2023,"12",1,90,26,169,4619,0,0,3,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,2,0,20,11,45,20,18,19,11,22,62,40,NA
14,6,7,1.25,12,83.33,"Sofía Campos","cultura",2024,"2",1,28,82,174,2677,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,3,2,15,2,3,3,5,3,11,11,19,NA
537,306,19,1.19,525,88.38,"Javier Ors","cultura",2024,"2",4,25,105,129,8435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34,25,15,37,20,28,9,41,60,77,NA
12,10,4,1.45,11,90.91,"Sofía Campos","cultura",2023,"4",28,307,73,132,3208,1,1,1,1,0,2,0,0,1,1,0,1,0,1,0,0,0,1,0,0,5,7,6,14,4,12,1,12,24,18,NA
108,102,543,1.64,117,79.49,"Dámaris Fernández","cultura",2023,"4",12,323,78,96,636,0,1,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,1,7,2,6,NA
85,70,231,1.38,88,81.82,"Antonio Añover","cultura",2023,"6",26,248,125,131,4526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,16,29,12,24,12,24,44,51,NA
22,14,106,1.29,21,71.43,"La Razón","cultura",2024,"2",18,11,41,306,4414,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,1,0,2,3,0,9,10,5,18,12,15,5,39,33,41,NA
16,14,371,1.55,22,68.18,"Concha García","cultura",2023,"10",9,143,70,139,4095,1,0,0,1,0,1,0,0,1,1,1,0,0,2,0,1,0,0,2,0,8,11,2,22,3,11,7,21,27,29,NA
29,27,12,1.1,29,86.21,"Sofía Campos","cultura",2023,"9",14,168,62,139,2850,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,4,2,0,5,1,28,4,19,31,2,22,13,18,34,22,"Cine"
26,11,26,1.5,20,85,"Antonio Añover","cultura",2024,"1",9,51,101,144,2394,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,5,4,4,2,11,7,12,NA
75,73,117,1.18,78,79.49,"Concha García","cultura",2023,"4",11,324,80,131,4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,4,17,6,8,4,19,18,34,NA
16,15,210,1.25,16,93.75,"Jorge Vilches","cultura",2023,"3",12,354,59,203,7099,2,1,1,1,0,1,1,0,2,0,1,1,1,1,1,1,1,0,1,0,37,26,31,42,12,36,16,37,76,40,"Rusia"
14,5,0,1.17,12,100,"Concha García","cultura",2024,"1",8,52,43,158,8082,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,3,14,15,12,29,8,31,8,31,42,63,NA
29,27,423,1.57,30,66.67,"David Hernández de la Fuente","cultura",2023,"11",6,115,63,185,4369,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,14,4,19,10,11,2,13,22,26,NA
22,20,87,1.24,21,80.95,"Ilia Galán Díez","cultura",2024,"1",5,55,78,149,5016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,9,18,11,10,23,13,12,21,26,57,NA
12,12,98,1.21,14,71.43,"David Hernández de la Fuente","cultura",2023,"1",30,395,55,165,4737,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,3,8,11,3,9,12,6,4,15,14,32,NA
15,12,40,1.4,15,60,"Alexander Mikaberidze","cultura",2023,"11",26,95,45,201,10460,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,2,3,34,22,16,32,20,27,16,46,66,57,"Cine"
16,14,2,1.06,16,93.75,"José María Zavala","cultura",2023,"10",15,137,43,110,4643,1,0,0,2,0,1,0,0,2,0,2,1,3,2,0,0,0,2,3,1,19,15,20,29,7,16,5,18,39,32,NA
45,9,36,1.65,31,77.42,"José María Zavala","cultura",2024,"1",21,39,53,109,5882,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,11,25,10,11,20,16,11,52,23,72,NA
96,62,22,1.18,98,83.67,"Sofía Campos","cultura",2024,"1",22,38,68,112,3103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,8,0,4,3,2,1,13,7,22,NA
50,45,471,1.43,51,78.43,"Sofía Campos","cultura",2024,"2",14,15,70,127,2930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,10,15,5,4,7,12,31,NA
16,16,383,1.47,17,88.24,"Héctor Herrera","cultura",2023,"12",31,60,72,86,5465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,6,7,9,8,4,13,15,34,NA
27,22,120,1.31,26,80.77,"María Caba Díaz","cultura",2023,"9",21,161,31,179,3132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,9,7,7,10,7,2,12,17,29,NA
14,12,152,1.18,17,88.24,"Héctor Herrera","cultura",2023,"10",11,141,53,88,3176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,1,5,12,6,8,12,15,27,NA
24,22,1331,3.2,25,68,"Javier Ors","cultura",2023,"12",4,87,26,167,7986,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,2,2,17,8,31,18,5,26,1,20,70,41,NA
193,159,160,1.3,202,81.68,"Sofía Campos","cultura",2024,"1",2,58,51,147,2547,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,7,2,3,7,3,5,7,9,19,NA
52,50,13,1.26,53,84.91,"Sofía Campos","cultura",2023,"2",27,367,52,117,2741,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,10,2,5,5,5,4,9,9,17,NA
187,15,53,5.47,36,80.56,"Sofía Campos","cultura",2024,"1",28,32,84,98,3053,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,3,5,18,5,4,23,9,10,21,19,45,"Música"
29,10,35,1.13,30,80,"Sofía Campos","cultura",2024,"1",28,32,84,98,3053,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,3,5,18,5,4,23,9,10,21,19,45,"Música"
172,165,271,1.52,184,70.11,"Héctor Herrera","cultura",2024,"2",14,15,64,129,2480,0,2,0,0,2,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,7,11,2,7,11,8,4,18,19,23,"Santoral"
19,16,72,1.16,19,84.21,"Jorge Vilches","cultura",2023,"8",16,197,64,133,4566,0,0,0,2,0,0,0,0,2,0,1,1,1,1,0,1,0,1,1,1,25,12,8,34,5,18,12,13,48,40,NA
103,88,373,1.56,117,64.96,"Héctor Herrera","cultura",2023,"6",1,273,85,138,3495,1,1,1,1,0,1,0,0,1,0,2,0,2,2,0,2,0,0,2,1,24,12,23,33,14,31,6,18,46,38,NA
24,7,30,1.16,25,80,"David Soria Molina (Desperta Ferrero Ediciones)","cultura",2023,"12",31,60,52,161,4323,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2,15,17,6,15,3,6,3,12,24,40,NA
21,17,326,1.48,21,71.43,"José María Zavala","cultura",2023,"7",23,221,69,179,9792,1,1,1,1,0,1,1,4,1,3,0,0,0,0,0,0,0,3,0,4,38,27,18,53,14,65,26,102,103,138,NA
16,11,64,1.19,16,62.5,"Ulises Fuente","cultura",2023,"1",18,407,77,164,4302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,5,6,2,6,5,6,5,14,17,39,NA
16,4,94,1.43,14,78.57,"Jorge Vilches","cultura",2024,"2",4,25,53,210,8255,0,0,0,0,0,0,0,0,0,0,4,3,1,3,3,0,1,4,1,6,21,16,14,25,21,27,11,31,48,52,NA
40,40,294,1.52,46,80.43,"Nora Villalba","cultura",2023,"6",1,273,81,127,2610,0,1,0,1,2,0,1,2,0,2,0,2,0,0,0,0,0,1,0,1,2,6,0,3,7,0,2,11,1,27,NA
15,15,1836,3.05,22,40.91,"Camila Pujalví","cultura",2023,"7",17,227,76,114,5536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,26,4,9,18,10,14,21,22,44,"Cine"
39,37,357,1.49,41,85.37,"Sofía Campos","cultura",2024,"1",1,59,76,144,1760,0,0,0,0,0,2,0,0,2,1,1,0,1,1,0,1,0,1,1,4,2,2,2,2,1,6,1,3,10,15,NA
15,14,210,1.25,16,93.75,"Dámaris Fernández","cultura",2023,"5",11,294,53,103,1766,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,6,0,9,0,9,14,21,"Lenguaje"
30,20,347,1.37,30,73.33,"Sofía Campos","cultura",2024,"2",13,16,83,174,2863,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,5,9,1,7,9,7,1,21,16,22,NA
16,12,415,1.53,19,63.16,"Javier Ors","cultura",2023,"12",27,64,96,208,9148,1,0,0,2,0,1,0,0,2,0,1,0,0,2,0,1,0,0,2,0,50,20,8,67,5,54,9,29,106,61,NA
24,15,0,1.04,24,100,"Javier Menéndez Flores","cultura",2024,"2",12,17,88,162,9409,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,20,31,16,33,37,39,8,40,67,74,"Música"
20,11,467,2.42,12,91.67,"Jorge Vilches","cultura",2024,"2",2,27,39,188,4250,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,2,9,11,6,17,7,27,3,19,44,36,NA
25,25,479,1.6,25,76,"Cecilia García","cultura",2019,"1",20,1866,34,244,7759,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,18,17,13,20,8,21,9,28,41,40,"papel"
129,123,167,1.24,144,86.11,"La Razón","cultura",2019,"10",3,1610,81,184,3494,0,1,1,0,1,0,1,2,0,1,0,0,1,0,0,0,1,2,1,0,6,7,8,8,6,7,4,14,13,22,NA
40,39,376,1.45,42,80.95,"José María Zavala","cultura",2017,"1",15,2601,27,126,5519,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,3,0,1,4,2,29,16,36,45,9,32,12,20,61,41,"Rusia"
12,11,816,1.86,14,78.57,"La Razón","cultura",2017,"5",14,2482,25,200,7790,3,1,0,2,0,1,1,0,3,0,0,2,1,0,2,0,0,2,1,3,24,24,13,25,37,30,16,44,40,79,"papel"
162,159,502,1.66,184,75.54,"Camila Pujalví","cultura",2023,"7",18,226,78,106,3277,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,7,29,7,15,13,15,10,14,39,39,NA
55,49,313,1.5,58,84.48,"Sofía Campos","cultura",2023,"2",9,385,67,143,1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,1,4,0,2,6,3,3,10,7,17,"Lenguaje"
92,91,124,1.22,96,79.17,"La Razón","cultura",2019,"8",11,1663,49,87,3809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,5,8,7,1,10,11,34,NA
58,56,11,1.22,58,77.59,"La Razón","cultura",2019,"8",23,1651,96,117,3765,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5,21,3,6,22,10,5,22,17,52,NA
51,50,599,1.66,62,74.19,"La Razón","cultura",2016,"4",10,2881,56,413,9499,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,1,39,26,11,78,9,33,8,33,93,85,NA
12,9,102,1.27,11,90.91,"La Razón","cultura",2019,"6",30,1705,44,169,8765,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,1,0,0,2,1,26,19,14,49,15,35,10,28,74,61,"papel"
40,39,915,2,46,80.43,"La Razón","cultura",2021,"10",6,876,55,130,5233,3,2,0,2,1,1,1,1,3,1,0,0,0,0,0,0,0,1,2,0,27,24,22,35,26,44,13,28,73,56,"papel"
62,53,122,1.39,61,83.61,"La Razón","cultura",2024,"2",5,24,50,136,3919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,4,6,11,14,6,11,10,20,NA
21,20,262,1.42,24,70.83,"Sofía Campos","cultura",2022,"9",6,541,58,65,2628,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,4,10,10,6,5,0,13,12,23,"Lenguaje"
57,55,114,1.21,58,84.48,"Dámaris Fernández","cultura",2023,"4",11,324,115,121,3666,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,18,16,9,26,16,20,11,23,23,42,NA
42,40,202,1.26,42,83.33,"Dámaris Fernández","cultura",2023,"4",12,323,77,146,5661,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17,8,7,18,9,18,7,24,33,41,NA
15,12,70,1.06,16,93.75,"Ulises Fuente","cultura",2023,"2",10,384,57,170,5513,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13,25,5,15,14,13,12,32,28,50,NA
291,244,42,1.4,302,85.76,"Antonio Añover","cultura",2024,"1",30,30,136,169,3066,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,8,4,3,14,3,8,2,12,17,13,"Cine"
20,17,225,1.28,25,76,"Héctor Herrera","cultura",2023,"4",12,323,60,91,3372,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,6,3,10,5,8,5,11,21,27,"Lenguaje"
25,10,247,1.26,31,83.87,"Diego Gándara","cultura",2024,"1",30,30,42,220,9172,1,1,1,1,0,1,0,0,1,0,1,1,0,2,0,0,0,0,3,2,19,22,19,32,17,30,17,33,59,90,NA
106,67,51,1.32,103,80.58,"Sofía Campos","cultura",2024,"1",27,33,51,120,3800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,8,20,7,18,16,14,14,21,14,38,NA
31,31,554,1.71,31,80.65,"Sofía Campos","cultura",2023,"11",2,119,54,114,3759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,9,10,18,7,13,7,15,27,34,NA
124,92,274,1.5,129,86.05,"Sofía Campos","cultura",2023,"12",31,60,79,196,2913,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,2,1,1,4,8,5,9,7,7,6,16,14,24,"Estados Unidos"
20,19,1540,2.64,22,72.73,"Concha García","cultura",2022,"1",13,777,29,136,2683,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,2,0,2,4,4,2,2,3,1,3,11,6,26,NA
22,20,430,1.5,24,62.5,"Sofía Campos","cultura",2022,"3",8,723,46,95,6437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,24,5,24,16,23,12,32,37,69,NA
16,11,181,1.16,19,84.21,"Javier Ors","cultura",2022,"10",15,502,76,118,4560,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,2,28,14,7,37,8,26,15,25,63,31,NA
17,10,68,1.11,19,84.21,"Julián Herrero","cultura",2024,"1",22,38,106,128,4563,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,5,10,5,12,4,15,34,28,"Lenguaje"
16,2,3,1,17,94.12,"Concha García","cultura",2024,"1",19,41,42,117,4121,2,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,20,18,8,33,14,28,13,16,44,37,NA
45,37,892,2.04,53,79.25,"Jorge Vilches","cultura",2023,"10",9,143,57,101,8723,0,1,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,11,52,2,28,47,11,12,65,33,101,NA
16,14,2,1.14,21,95.24,"Toni Montesinos","cultura",2024,"2",10,19,68,201,8863,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,1,2,3,2,3,25,37,24,42,33,37,23,48,49,98,NA
22,21,101,1.29,24,79.17,"Henar Soto","cultura",2024,"2",4,25,124,133,8166,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,10,32,2,10,19,8,20,45,21,94,NA
116,97,122,1.3,121,80.17,"Toni Montesinos","cultura",2024,"2",14,15,33,167,9523,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,14,29,10,22,20,28,13,36,42,79,NA
19,17,28,1.1,20,85,"Dámaris Fernández","cultura",2023,"5",12,293,100,148,3316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,3,1,4,1,7,12,18,"Lenguaje"
51,46,150,1.25,52,80.77,"La Razón","cultura",2018,"11",26,1921,81,118,3105,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,14,8,10,10,4,8,2,11,35,22,"Cine"
16,16,195,1.19,16,87.5,"La Razón","cultura",2018,"10",25,1953,43,91,7893,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,67,32,33,99,20,45,38,22,114,45,NA
12,11,374,1.58,12,83.33,"La Razón","cultura",2018,"8",3,2036,48,193,6431,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,4,30,17,11,30,17,14,9,24,49,60,"papel"
19,10,1339,2.8,15,60,"Ángeles López","cultura",2024,"2",11,18,49,155,7629,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,14,19,19,17,26,27,15,31,61,55,"Música"
19,16,448,1.5,20,85,"David Hernández de la Fuente","cultura",2023,"11",19,102,57,207,9089,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,1,3,26,40,16,41,32,50,19,65,74,83,NA
25,11,78,1.46,24,79.17,"J.M. Zuloaga","cultura",2024,"1",27,33,53,78,2157,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,3,2,6,2,3,12,5,26,NA
15,15,450,1.6,15,80,"José María Zavala","cultura",2019,"8",21,1653,56,138,4563,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,2,11,35,7,15,38,24,9,49,31,67,NA
17,17,7,1.26,19,73.68,"David Hernández de la Fuente","cultura",2023,"10",23,129,61,153,4992,0,1,0,0,1,0,0,1,0,2,0,1,0,0,1,0,0,1,0,1,2,19,3,3,15,7,6,29,16,38,"Sexo"
62,52,27,1.1,62,88.71,"Marta Moleón","cultura",2024,"2",9,20,101,156,12003,0,0,0,1,0,2,0,1,2,2,1,1,0,0,1,0,0,0,0,1,21,57,10,39,43,53,28,64,69,143,"Cine"
107,106,180,1.38,108,79.63,"Álvaro García","cultura",2023,"9",28,154,54,110,1865,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,2,2,3,6,2,5,8,5,1,7,10,20,"Cine"
373,142,15,1.11,363,89.81,"Marta Moleón","cultura",2024,"1",12,48,126,156,14808,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,11,46,8,32,35,46,16,65,63,137,"Cine"
65,46,170,1.34,67,76.12,"Macarena Gutiérrez","cultura",2024,"2",5,24,72,136,7932,0,1,0,0,1,0,1,1,0,2,1,1,0,0,1,0,0,3,0,3,8,26,8,19,17,27,16,34,40,61,"Cine"
80,68,26,1.31,77,81.82,"Víctor Fernández","cultura",2024,"2",2,27,74,64,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,1,1,2,1,1,0,3,4,3,"Cine"
32,0,42,1.07,42,95.24,"Víctor Fernández","cultura",2024,"2",2,27,74,64,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,1,1,2,1,1,0,3,4,3,"Cine"
16,9,0,1.55,11,100,"La Razón","cultura",2024,"1",3,57,45,135,1602,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,3,0,2,5,3,3,4,4,15,NA
30,26,61,1.28,29,75.86,"Toni Montesinos","cultura",2023,"12",30,61,49,144,7176,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,9,32,9,18,32,21,12,48,27,88,NA
16,10,8,1.27,15,80,"Sofía Campos","cultura",2024,"1",10,50,72,113,2258,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,2,0,0,2,2,3,3,4,2,7,13,21,NA
126,119,689,1.99,138,63.04,"Concha García","cultura",2022,"2",24,735,44,180,3326,0,1,0,0,1,0,0,1,0,2,1,0,0,1,0,1,0,0,1,3,12,13,3,14,15,10,3,17,18,36,"Música"
45,39,702,2.54,46,73.91,"Jorge Herrero","cultura",2022,"3",6,725,64,112,5261,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,12,5,0,9,4,4,11,3,30,"Música"
17,17,19,1.24,17,70.59,"Concha García","cultura",2022,"3",31,700,70,182,3799,5,0,2,6,0,4,1,0,6,2,3,0,0,3,1,2,1,3,3,2,17,12,6,20,8,14,12,20,30,39,"Música"
24,21,319,1.44,25,88,"Concha García","cultura",2022,"4",5,695,76,154,3692,4,1,0,3,0,3,1,0,4,0,1,0,0,1,0,1,0,0,1,2,15,16,10,15,9,19,10,10,27,24,"Música"
14,11,106,1.14,14,78.57,"Alberto Bravo","cultura",2022,"5",15,655,62,136,5919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,26,11,14,18,22,10,27,42,41,"Música"
41,36,131,1.29,45,77.78,"Concha García","cultura",2022,"6",13,626,71,115,3164,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,3,22,14,12,28,5,19,8,22,29,33,"Música"
24,24,7,1.25,24,79.17,"Ulises Fuente","cultura",2022,"6",27,612,75,242,1958,0,0,0,0,0,0,0,0,0,0,1,1,4,2,0,3,0,1,6,2,11,6,14,10,3,9,4,9,23,18,"Música"
15,15,158,1.27,15,80,"Ulises Fuente","cultura",2022,"7",8,601,63,175,3502,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,11,16,13,12,12,16,11,16,36,35,"Música"
95,95,565,1.77,103,67.96,"Concha García","cultura",2022,"9",7,540,74,167,3381,0,1,0,0,1,1,0,1,0,1,1,2,0,1,2,0,1,0,0,3,7,22,1,6,24,11,7,19,12,44,"Música"
29,26,24,1,31,96.77,"Concha García","cultura",2022,"9",14,533,75,95,3448,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,17,16,0,13,16,10,5,20,25,37,"Música"
31,29,839,1.98,42,61.9,"Jorge Herrero","cultura",2022,"11",23,463,55,204,3194,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,2,1,0,10,15,8,18,10,18,9,13,30,22,"Música"
41,21,8,1.15,41,87.8,"Ulises Fuente","cultura",2024,"1",18,42,58,127,2109,0,0,0,0,0,1,1,0,2,0,1,0,1,1,0,1,0,1,1,2,2,4,2,8,8,5,4,11,9,20,"Música"
35,31,69,1.2,35,82.86,"Ulises Fuente","cultura",2024,"2",4,25,60,188,7679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,8,15,23,23,12,40,38,66,"Música"
67,56,5,1.19,67,83.58,"Julián Herrero","cultura",2024,"2",4,25,58,154,2047,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,1,2,7,8,6,10,6,10,3,7,14,17,"Música"
17,11,1,1.12,17,94.12,"Sofía Campos","cultura",2024,"1",3,57,79,120,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,4,"Música"
